#! FIELDS phi ves.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  300
#! SET periodic_phi true
   -3.141592654   11.351240238  -48.628783639
   -3.120648703   12.335528198  -45.407022291
   -3.099704752   13.255854816  -42.555397691
   -3.078760801   14.121741744  -40.223707566
   -3.057816849   14.944635156  -38.446144468
   -3.036872898   15.735556671  -37.150911181
   -3.015928947   16.503115806  -36.184529159
   -2.994984996   17.252147385  -35.346318712
   -2.974041045   17.983127401  -34.427224989
   -2.953097094   18.692393291  -33.246796114
   -2.932153143   19.373069458  -31.682715854
   -2.911209192   20.016495413  -29.688728527
   -2.890265241   20.613887137  -27.298816604
   -2.869321290   21.157941173  -24.617764441
   -2.848377339   21.644116817  -21.800398077
   -2.827433388   22.071398647  -19.023493840
   -2.806489437   22.442437049  -16.455342679
   -2.785545486   22.763071929  -14.228109105
   -2.764601535   23.041346674  -12.417438814
   -2.743657584   23.286199231  -11.032388026
   -2.722713633   23.506062943  -10.016918807
   -2.701769682   23.707615207   -9.262241900
   -2.680825731   23.894877833   -8.627517701
   -2.659881780   24.068806242   -7.965131237
   -2.638937829   24.227417608   -7.146135923
   -2.617993878   24.366415848   -6.081593771
   -2.597049927   24.480189567   -4.736380010
   -2.576105976   24.563000940   -3.133405257
   -2.555162025   24.610157965   -1.347889902
   -2.534218074   24.618972799    0.506987160
   -2.513274123   24.589352065    2.300333230
   -2.492330172   24.523932725    3.906043681
   -2.471386221   24.427757186    5.223663983
   -2.450442270   24.307559811    6.194122458
   -2.429498319   24.170800572    6.807831905
   -2.408554368   24.024620041    7.104041556
   -2.387610417   23.874897277    7.161853417
   -2.366666466   23.725568257    7.084733559
   -2.345722515   23.578312231    6.981410444
   -2.324778564   23.432646222    6.946586689
   -2.303834613   23.286395763    7.044819895
   -2.282890662   23.136445584    7.300280029
   -2.261946711   22.979628102    7.693991575
   -2.241002760   22.813587822    8.168819103
   -2.220058809   22.637468740    8.641094555
   -2.199114858   22.452307410    9.016649514
   -2.178170906   22.261069546    9.208297980
   -2.157226955   22.068332818    9.151630583
   -2.136283004   21.879681318    8.816350614
   -2.115339053   21.700927004    8.211229975
   -2.094395102   21.537301856    7.381931811
   -2.073451151   21.392766833    6.402225476
   -2.052507200   21.269560146    5.360282854
   -2.031563249   21.168062424    4.342590783
   -2.010619298   21.086998357    3.418399448
   -1.989675347   21.023933735    2.627490807
   -1.968731396   20.975974284    1.973426287
   -1.947787445   20.940537378    1.423436080
   -1.926843494   20.916055701    0.914924114
   -1.905899543   20.902484878    0.367394515
   -1.884955592   20.901522563   -0.302337495
   -1.864011641   20.916497829   -1.164342015
   -1.843067690   20.951947703   -2.261943922
   -1.822123739   21.012952113   -3.602617480
   -1.801179788   21.104339767   -5.154936149
   -1.780235837   21.229898486   -6.852027304
   -1.759291886   21.391720907   -8.600836945
   -1.738347935   21.589790955  -10.295503784
   -1.717403984   21.821872953  -11.832451813
   -1.696460033   22.083711703  -13.124554223
   -1.675516082   22.369497840  -14.111940093
   -1.654572131   22.672508074  -14.767664177
   -1.633628180   22.985802286  -15.097419065
   -1.612684229   23.302853632  -15.133562890
   -1.591740278   23.618004635  -14.924766878
   -1.570796327   23.926678315  -14.523369678
   -1.549852376   24.225322003  -13.972919575
   -1.528908425   24.511113624  -13.298321372
   -1.507964474   24.781506180  -12.500494783
   -1.487020523   25.033717617  -11.556588566
   -1.466076572   25.264284185  -10.425736173
   -1.445132621   25.468783837   -9.059276898
   -1.424188670   25.641804054   -7.413495467
   -1.403244719   25.777181550   -5.462413344
   -1.382300768   25.868488086   -3.208095501
   -1.361356817   25.909686878   -0.686335284
   -1.340412866   25.895847154    2.033618370
   -1.319468915   25.823787236    4.855561648
   -1.298524963   25.692522898    7.668193523
   -1.277581012   25.503426982   10.360446777
   -1.256637061   25.260053716   12.837709329
   -1.235693110   24.967638774   15.036098572
   -1.214749159   24.632343871   16.932197578
   -1.193805208   24.260362190   18.546376274
   -1.172861257   23.857029547   19.938887702
   -1.151917306   23.426090326   21.199169513
   -1.130973355   22.969245348   22.429980514
   -1.110029404   22.486064188   23.728950755
   -1.089085453   21.974284075   25.170650005
   -1.068141502   21.430451494   26.792282269
   -1.047197551   20.850802242   28.585579917
   -1.026253600   20.232231454   30.496479344
   -1.005309649   19.573185184   32.432869834
   -0.984365698   18.874313450   34.279331854
   -0.963421747   18.138760688   35.916552415
   -0.942477796   17.372027867   37.242235084
   -0.921533845   16.581411912   38.189965900
   -0.900589894   15.775100803   38.742725511
   -0.879645943   14.961064699   38.938527157
   -0.858701992   14.145923946   38.866890694
   -0.837758041   13.333986584   38.656340156
   -0.816814090   12.526628320   38.454598086
   -0.795870139   11.722139133   38.404400533
   -0.774926188   10.916090124   38.618663749
   -0.753982237   10.102192570   39.158958548
   -0.733038286    9.273541492   40.020845096
   -0.712094335    8.424070918   41.128645016
   -0.691150384    7.550008179   42.340827078
   -0.670206433    6.651106594   43.465574867
   -0.649262482    5.731461667   44.284541152
   -0.628318531    4.799771699   44.581519928
   -0.607374580    3.868981401   44.171983202
   -0.586430629    2.955334922   42.929258310
   -0.565486678    2.076949309   40.803589443
   -0.544542727    1.252083683   37.832942973
   -0.523598776    0.493941214   35.057020690
   -0.502654825   -0.025984849   -2.142069388
   -0.481710874   -0.000403631   -0.088773284
   -0.460766923   -0.000005263   -0.001007333
   -0.439822972   -0.000000140   -0.000021644
   -0.418879020   -0.000000008   -0.000000949
   -0.397935069   -0.000000001   -0.000000080
   -0.376991118   -0.000000000   -0.000000012
