#! FIELDS s1 ves.bias_withoutcutoff der_s1
#! SET min_s1 -5
#! SET max_s1 5
#! SET nbins_s1  301
#! SET periodic_s1 false
   -5.000000000  -77.710771778 -1541.542225308
   -4.966666667  -66.055318697   95.948288029
   -4.933333333  -67.499786798  -29.483497265
   -4.900000000  -65.694405881  -53.398647271
   -4.866666667  -64.632377683  -12.152115603
   -4.833333333  -64.456590795   -5.275846809
   -4.800000000  -64.000805188  -23.187574819
   -4.766666667  -62.988459903  -35.038209477
   -4.733333333  -61.836801029  -32.023769968
   -4.700000000  -60.924520623  -22.632875943
   -4.666666667  -60.284152471  -16.923836389
   -4.633333333  -59.715002071  -18.310157482
   -4.600000000  -59.014241991  -24.067409393
   -4.566666667  -58.114455143  -29.533290601
   -4.533333333  -57.083765291  -31.643636918
   -4.500000000  -56.045951632  -30.128374560
   -4.466666667  -55.095997631  -26.757880657
   -4.433333333  -54.256946871  -23.822572448
   -4.400000000  -53.485271091  -22.872210832
   -4.366666667  -52.706449311  -24.196128805
   -4.333333333  -51.855413526  -27.014335799
   -4.300000000  -50.902971468  -30.065236902
   -4.266666667  -49.861134935  -32.229430035
   -4.233333333  -48.770773817  -32.937630457
   -4.200000000  -47.680743925  -32.272245891
   -4.166666667  -46.628224579  -30.809429936
   -4.133333333  -45.626991671  -29.323983266
   -4.100000000  -44.665930084  -28.490398350
   -4.066666667  -43.716139147  -28.678208352
   -4.033333333  -42.742613362  -29.884526961
   -4.000000000  -41.715959085  -31.794142010
   -3.966666667  -40.620577295  -33.922186255
   -3.933333333  -39.457522704  -35.781209855
   -3.900000000  -38.242129312  -37.020788816
   -3.866666667  -36.997931318  -37.506593574
   -3.833333333  -35.749127675  -37.328894405
   -3.800000000  -34.513818619  -36.750816760
   -3.766666667  -33.299655076  -36.119879968
   -3.733333333  -32.102657197  -35.770943309
   -3.700000000  -30.909054280  -35.945559888
   -3.666666667  -29.699294079  -36.744373762
   -3.633333333  -28.452988856  -38.118650532
   -3.600000000  -27.153532697  -39.897130767
   -3.566666667  -25.791381307  -41.837176392
   -3.533333333  -24.365422712  -43.685653395
   -3.500000000  -22.882359028  -45.235177622
   -3.466666667  -21.354452860  -46.364495208
   -3.433333333  -19.796287378  -47.056682591
